tanda,iata,aeropuerto,pais,rutas_en_hoja,ruta1,ruta2,ruta3,ruta4,ruta5
"3","MAH","Menorca","España","49","Ciutadella","Cala Galdana","Fornells","Cala'n Bosch","Arenal d'en Castell"
"3","LPA","Gran Canaria","España","48","Maspalomas","Playa del Inglés","Las Palmas de Gran Canaria","Amadores","Mogán"
"3","SPC","La Palma","España","24","Santa Cruz de La Palma","Los Cancajos","Los Llanos","Tazacorte","Puntagorda"
"3","ZAZ","Zaragoza","España","42","Zaragoza","Jaca","Huesca","Baqueira-Beret","Vielha"
"3","PNA","Pamplona","España","65","Pamplona / Iruña","San Sebastián / Donostia","Logroño","Jaca","Estella-Lizarra"
"3","EAS","San Sebastián","España","62","Biarritz","Hendaye","Zarautz","Hondarribia","Bayonne"
"3","VIT","Vitoria","España","12","Vitoria / Gasteiz","Logroño","Pamplona / Iruña","Elciego","San Sebastián / Donostia"
"3","OVD","Asturias","España","64","Oviedo","Cudillero","Arriondas","Luarca","Candás"
"3","LCG","A Coruña","España","34","La Coruña","Cedeira","Pontedeume","Ribeira","Ares (Galicia)"
"3","SOU","Southampton","Reino Unido","277","Southampton","London City Center","Portsmouth","Bournemouth","Salisbury"
"3","BOH","Bournemouth","Reino Unido","238","Bournemouth","Poole","London City Center","Southampton","Weymouth"
"3","SEN","Londres-Southend","Reino Unido","212","London City Center","Colchester","Chelmsford","Cambridge","Leigh-on-Sea"
"3","BRS","Bristol","Reino Unido","145","Bristol","Bath","Cardiff","Cheltenham","London City Center"
"3","GLA","Glasgow","Reino Unido","138","Glasgow","Edinburgh","Stirling","Inverness","Aviemore"
"3","LPL","Liverpool","Reino Unido","58","Liverpool","Manchester","Chester","Blackpool","Southport"
"3","EMA","East Midlands","Reino Unido","56","Nottingham","Derby","Leicester","Birmingham","Manchester"
"3","LBA","Leeds Bradford","Reino Unido","53","Leeds","York","Harrogate","Manchester","Sheffield"
"3","NCL","Newcastle","Reino Unido","39","Newcastle upon Tyne","Durham (England)","Edinburgh","Sunderland","Middlesbrough"
"3","ABZ","Aberdeen","Reino Unido","26","Aberdeen","Inverness","Aviemore","Dundee","Edinburgh"
"3","SNN","Shannon","Irlanda","166","Limerick","Galway City Centre","Ennis","Killarney","Dublin"
"3","ORK","Cork","Irlanda","131","Cork","Killarney","Kinsale","Dublin","Galway City Centre"
"3","NOC","Knock","Irlanda","96","Galway City Centre","Westport","Sligo city","Clifden","Donegal"
"3","KIR","Kerry","Irlanda","58","Killarney","Dingle","Tralee","Kenmare","Cork"
"4","SKG","Salónica","Grecia","163","Thessaloniki city","Kassandreia","Paralia Katerinis","Litochoro","Larissa"
"4","CFU","Corfú","Grecia","100","Corfú","Acharavi","Agios Gordios","Arillas","Palaiokastritsa"
"4","CHQ","La Canea (Creta)","Grecia","143","Chania","Rethymnon","Georgioupolis","Platanias, Chania","Kolymvari"
"4","RHO","Rodas","Grecia","54","Faliraki","Ixia","Lindos","Kallithea","Kiotari"
