IATA,Aeropuerto,Pais,Rutas publicadas,Rutas con precio,Ticket medio,Ticket mediana,Min,Max
MSY,"Louis Armstrong New Orleans International Airport","United States",1,9,76.64,40.44,40.14,188.00
CZM,"Cozumel International Airport","Mexico",2,2,39.03,39.03,28.02,50.05
ACE,"Lanzarote Airport","Spain",7,14,44.48,38.42,25.68,67.43
MDE,"Medellín José María Córdova International Airport","Colombia",1,6,46.14,37.93,31.78,97.29
CSX,"Changsha Huanghua International Airport","China",1,1,36.24,36.24,36.24,36.24
BAQ,"Barranquilla Ernesto Cortissoz International Airport","Colombia",1,5,73.08,34.06,26.56,141.98
HKG,"Hong Kong International Airport","China",10,10,39.10,33.90,25.09,74.57
IST,"Istanbul Airport","Turkey",11,10,37.87,33.80,30.87,56.45
FNC,"Madeira Funchal Airport","Portugal",3,39,35.06,32.09,16.98,65.65
VXE,"São Vicente Cesária Évora Airport","Cape Verde",1,4,34.17,31.48,24.58,49.15
BGA,"Bucaramanga Palonegro International Airport","Colombia",1,5,84.66,30.55,20.16,247.84
SMR,"Santa Marta Simón Bolívar International Airport","Colombia",1,8,31.29,30.08,14.65,59.35
RMO,"Chișinău International Airport","Moldova",1,1,29.97,29.97,29.97,29.97
LAS,"Harry Reid International Airport","United States",1,40,174.16,29.63,22.69,1025.15
FLN,"Florianópolis International Airport","Brazil",12,12,34.27,28.88,17.49,77.40
ZNZ,"Zanzibar Abeid Amani Karume International Airport","Tanzania",3,22,28.77,27.48,13.05,49.53
RAK,"Marrakech Menara Airport","Morocco",1,57,81.34,27.03,9.60,369.71
DOH,"Doha Hamad International Airport","Qatar",1,9,31.25,26.61,13.59,82.87
RMF,"Marsa Alam International Airport","Egypt",5,25,34.23,26.41,13.14,107.46
BVC,"Boa Vista Aristides Pereira Airport","Cape Verde",6,7,39.24,26.11,26.00,60.64
MRU,"Mauritius Sir Seewoosagur Ramgoolam International Airport","Mauritius",3,49,24.84,25.39,15.97,34.97
SID,"Sal Amílcar Cabral International Airport","Cape Verde",2,4,24.82,25.14,18.28,30.72
CTG,"Rafael Núñez International Airport","Colombia",1,1,23.19,23.19,23.19,23.19
CAI,"Cairo International Airport","Egypt",12,12,29.13,23.09,8.62,68.33
NKG,"Nanjing Lukou International Airport","China",1,1,22.67,22.67,22.67,22.67
MLA,"Malta International Airport","Malta",10,69,24.27,19.93,19.93,62.44
ADZ,"San Andrés Gustavo Rojas Pinilla Airport","Colombia",1,1,17.11,17.11,17.11,17.11
DPS,"Bali Ngurah Rai International Airport","Indonesia",17,17,13.21,10.10,4.15,39.41
